date,region,confirmed,death,released
20200217,Seoul,14,0,3
20200217,Busan,0,0,0
20200217,Daegu,0,0,0
20200217,Incheon,1,0,1
20200217,Gwangju,2,0,0
20200217,Daejeon,0,0,0
20200217,Ulsan,0,0,0
20200217,Sejong,0,0,0
20200217,Gyeonggi,11,0,4
20200217,Gangwon,0,0,0
20200217,Chungbuk,0,0,0
20200217,Chungnam,0,0,0
20200217,Jeonbuk,1,0,1
20200217,Jeonnam,1,0,1
20200217,Gyeongbuk,0,0,0
20200217,Gyeongnam,0,0,0
20200217,Jeju,0,0,0
20200217,Quarantine,0,0,0
20200218,Seoul,14,0,3
20200218,Busan,0,0,0
20200218,Daegu,1,0,0
20200218,Incheon,1,0,1
20200218,Gwangju,2,0,0
20200218,Daejeon,0,0,0
20200218,Ulsan,0,0,0
20200218,Sejong,0,0,0
20200218,Gyeonggi,12,0,6
20200218,Gangwon,0,0,0
20200218,Chungbuk,0,0,0
20200218,Chungnam,0,0,0
20200218,Jeonbuk,1,0,1
20200218,Jeonnam,1,0,1
20200218,Gyeongbuk,0,0,0
20200218,Gyeongnam,0,0,0
20200218,Jeju,0,0,0
20200218,Quarantine,0,0,0
20200219,Seoul,16,0,5
20200219,Busan,0,0,0
20200219,Daegu,28,0,0
20200219,Incheon,1,0,1
20200219,Gwangju,2,0,2
20200219,Daejeon,0,0,0
20200219,Ulsan,0,0,0
20200219,Sejong,0,0,0
20200219,Gyeonggi,12,0,6
20200219,Gangwon,0,0,0
20200219,Chungbuk,0,0,0
20200219,Chungnam,0,0,0
20200219,Jeonbuk,1,0,1
20200219,Jeonnam,1,0,1
20200219,Gyeongbuk,5,0,0
20200219,Gyeongnam,0,0,0
20200219,Jeju,0,0,0
20200219,Quarantine,0,0,0
20200220,Seoul,16,0,5
20200220,Busan,0,0,0
20200220,Daegu,40,0,0
20200220,Incheon,1,0,1
20200220,Gwangju,2,0,2
20200220,Daejeon,0,0,0
20200220,Ulsan,0,0,0
20200220,Sejong,0,0,0
20200220,Gyeonggi,12,0,6
20200220,Gangwon,0,0,0
20200220,Chungbuk,0,0,0
20200220,Chungnam,0,0,0
20200220,Jeonbuk,1,0,1
20200220,Jeonnam,1,0,1
20200220,Gyeongbuk,9,1,0
20200220,Gyeongnam,0,0,0
20200220,Jeju,0,0,0
20200220,Quarantine,0,0,0
20200221,Seoul,21,0,6
20200221,Busan,0,0,0
20200221,Daegu,84,0,0
20200221,Incheon,1,0,1
20200221,Gwangju,3,0,2
20200221,Daejeon,0,0,0
20200221,Ulsan,0,0,0
20200221,Sejong,0,0,0
20200221,Gyeonggi,13,0,6
20200221,Gangwon,0,0,0
20200221,Chungbuk,1,0,0
