PassengerId,Parch,Ticket,Fare,Cabin,Embarked
396,0,350052,,,S
397,0,350407,7.8542,,S
398,0,28403,26,,S
399,0,244278,10.5,,S
400,0,240929,12.65,,S
401,0,STON/O 2. 3101289,7.925,,S
402,0,341826,8.05,,S
403,0,4137,9.825,,S
404,0,STON/O2. 3101279,15.85,,S
405,0,315096,,,S
406,0,28664,21,,S
407,0,347064,7.75,,S
408,1,29106,18.75,,S
409,0,312992,,,S
410,1,4133,25.4667,,S
411,0,349222,7.8958,,S
412,0,394140,6.8583,,Q
413,0,19928,90,C78,Q
414,0,239853,0,,S
415,0,STON/O 2. 3101269,7.925,,S
416,0,343095,8.05,,S
417,1,28220,32.5,,S
418,2,250652,13,,S
419,0,28228,13,,S
420,2,345773,24.15,,S
421,0,349254,7.8958,,C
422,0,A/5. 13032,7.7333,,Q
423,0,315082,7.875,,S
424,1,347080,14.4,,S
425,1,370129,20.2125,,S
426,0,A/4. 34244,7.25,,S
427,0,2003,26,,S
428,0,250655,26,,S
429,0,364851,7.75,,Q
430,0,SOTON/O.Q. 392078,8.05,E10,S
431,0,110564,26.55,C52,S
432,0,376564,16.1,,S
433,0,SC/AH 3085,26,,S
434,0,STON/O 2. 3101274,7.125,,S
435,0,13507,55.9,E44,S
436,2,113760,120,B96 B98,S
437,2,W./C. 6608,34.375,,S
438,3,29106,18.75,,S
439,4,19950,263,C23 C25 C27,S
440,0,C.A. 18723,10.5,,S
441,1,F.C.C. 13529,26.25,,S
442,0,345769,9.5,,S
443,0,347076,7.775,,S
444,0,230434,13,,S
445,0,65306,8.1125,,S
446,2,33638,81.8583,A34,S
447,1,250644,19.5,,S
448,0,113794,26.55,,S
449,1,2666,19.2583,,C
450,0,113786,30.5,C104,S
451,2,C.A. 34651,27.75,,S
452,0,65303,19.9667,,S
453,0,113051,27.75,C111,C
454,0,17453,89.1042,C92,C
455,0,A/5 2817,8.05,,S
456,0,349240,7.8958,,C
457,0,13509,26.55,E38,S
458,0,17464,51.8625,D21,S
459,0,F.C.C. 13531,10.5,,S
460,0,371060,7.75,,Q
461,0,19952,26.55,E12,S
462,0,364506,8.05,,S
463,0,111320,38.5,E63,S
464,0,234360,13,,S
465,0,A/S 2816,8.05,,S
466,0,SOTON/O.Q. 3101306,7.05,,S
467,0,239853,0,,S
468,0,113792,26.55,,S
469,0,36209,7.725,,Q
470,1,2666,19.2583,,C
471,0,323592,7.25,,S
472,0,315089,8.6625,,S
473,2,C.A. 34651,27.75,,S
474,0,SC/AH Basle 541,13.7917,D,C
475,0,7553,9.8375,,S
476,0,110465,52,A14,S
477,0,31027,21,,S
478,0,3460,7.0458,,S
479,0,350060,7.5208,,S
480,1,3101298,12.2875,,S
481,2,CA 2144,46.9,,S
482,0,239854,0,,S
483,0,A/5 3594,8.05,,S
484,0,4134,9.5875,,S
485,0,11967,91.0792,B49,C
486,1,4133,25.4667,,S
487,0,19943,90,C93,S
488,0,11771,29.7,B37,C
489,0,A.5. 18509,8.05,,S
490,1,C.A. 37671,15.9,,S
491,0,65304,19.9667,,S
492,0,SOTON/OQ 3101317,7.25,,S
493,0,113787,30.5,C30,S
494,0,PC 17609,49.5042,,C
495,0,A/4 45380,8.05,,S
496,0,2627,14.4583,,C
497,0,36947,78.2667,D20,C
498,0,C.A. 6212,15.1,,S
499,2,113781,151.55,C22 C26,S
500,0,350035,7.7958,,S
501,0,315086,8.6625,,S
502,0,364846,,,Q
503,0,330909,7.6292,,Q
504,0,4135,9.5875,,S
505,0,110152,86.5,B79,S
506,0,PC 17758,108.9,C65,C
507,2,26360,,,S
508,0,111427,26.55,,S
509,0,C 4001,22.525,,S
510,0,1601,56.4958,,S
511,0,382651,7.75,,Q
512,0,SOTON/OQ 3101316,8.05,,S
513,0,PC 17473,26.2875,E25,S
514,0,PC 17603,59.4,,C
515,0,349209,7.4958,,S
516,0,36967,34.0208,D46,S
517,0,C.A. 34260,10.5,F33,S
518,0,371110,24.15,,Q
519,0,226875,26,,S
520,0,349242,7.8958,,S
521,0,12749,93.5,B73,S
522,0,349252,7.8958,,S
523,0,2624,7.225,,C
524,1,111361,57.9792,B18,C
525,0,2700,7.2292,,C
526,0,367232,7.75,,Q
527,0,W./C. 14258,10.5,,S
528,0,PC 17483,221.7792,C95,S
529,0,3101296,7.925,,S
530,1,29104,11.5,,S
531,1,26360,26,,S
532,0,2641,7.2292,,C
533,1,2690,7.2292,,C
534,2,2668,22.3583,,C
535,0,315084,8.6625,,S
536,2,F.C.C. 13529,26.25,,S
537,0,113050,26.55,B38,S
538,0,PC 17761,106.425,,C
539,0,364498,14.5,,S
540,2,13568,49.5,B39,C
541,2,WE/P 5735,71,B22,S
542,2,347082,31.275,,S
543,2,347082,31.275,,S
544,0,2908,26,,S
545,0,PC 17761,106.425,C86,C
546,0,693,26,,S
547,0,2908,26,,S
548,0,SC/PARIS 2146,13.8625,,C
549,1,363291,20.525,,S
550,1,C.A. 33112,36.75,,S
551,2,17421,110.8833,C70,C
552,0,244358,26,,S
553,0,330979,7.8292,,Q
554,0,2620,7.225,,C
555,0,347085,7.775,,S
556,0,113807,26.55,,S
557,0,11755,39.6,A16,C
558,0,PC 17757,227.525,,C
559,1,110413,79.65,E67,S
560,0,345572,17.4,,S
561,0,372622,7.75,,Q
562,0,349251,7.8958,,S
563,0,218629,13.5,,S
564,0,SOTON/OQ 392082,8.05,,S
565,0,SOTON/O.Q. 392087,8.05,,S
566,0,A/4 48871,24.15,,S
567,0,349205,7.8958,,S
568,4,349909,21.075,,S
569,0,2686,7.2292,,C
570,0,350417,7.8542,,S
571,0,S.W./PP 752,10.5,,S
572,0,11769,51.4792,C101,S
573,0,PC 17474,26.3875,E25,S
574,0,14312,7.75,,Q
575,0,A/4. 20589,8.05,,S
576,0,358585,14.5,,S
577,0,243880,13,,S
578,0,13507,55.9,E44,S
579,0,2689,14.4583,,C
580,0,STON/O 2. 3101286,7.925,,S
581,1,237789,30,,S
582,1,17421,110.8833,C68,C
583,0,28403,26,,S
584,0,13049,40.125,A10,C
585,0,3411,8.7125,,C
586,2,110413,79.65,E68,S
587,0,237565,15,,S
588,1,13567,79.2,B41,C
589,0,14973,8.05,,S
590,0,A./5. 3235,8.05,,S
591,0,STON/O 2. 3101273,7.125,,S
592,0,36947,78.2667,D20,C
593,0,A/5 3902,7.25,,S
594,2,364848,7.75,,Q
595,0,SC/AH 29037,26,,S
596,1,345773,24.15,,S
597,0,248727,33,,S
598,0,LINE,0,,S
599,0,2664,7.225,,C
600,0,PC 17485,56.9292,A20,C
601,1,243847,27,,S
602,0,349214,7.8958,,S
603,0,113796,42.4,,S
604,0,364511,8.05,,S
605,0,111426,26.55,,C
606,0,349910,15.55,,S
607,0,349246,7.8958,,S
608,0,113804,30.5,,S
609,2,SC/Paris 2123,41.5792,,C
610,0,PC 17582,153.4625,C125,S
611,5,347082,31.275,,S
612,0,SOTON/O.Q. 3101305,7.05,,S
613,0,367230,15.5,,Q
614,0,370377,7.75,,Q
615,0,364512,,,S
616,2,220845,65,,S
617,1,347080,14.4,,S
618,0,A/5. 3336,16.1,,S
619,1,230136,39,F4,S
620,0,31028,10.5,,S
621,0,2659,14.4542,,C
622,0,11753,52.5542,D19,S
623,1,2653,15.7417,,C
624,0,350029,7.8542,,S
625,0,54636,16.1,,S
626,0,36963,32.3208,D50,S
627,0,219533,12.35,,Q
628,0,13502,77.9583,D9,S
629,0,349224,7.8958,,S
630,0,334912,7.7333,,Q
631,0,27042,30,A23,S
632,0,347743,7.0542,,S
633,0,13214,30.5,B50,C
634,0,112052,0,,S
635,2,347088,27.9,,S
636,0,237668,13,,S
637,0,STON/O 2. 3101292,7.925,,S
638,1,C.A. 31921,26.25,,S
639,5,3101295,39.6875,,S
640,0,376564,16.1,,S
641,0,350050,7.8542,,S
642,0,PC 17477,69.3,B35,C
643,2,347088,27.9,,S
644,0,1601,56.4958,,S
645,1,2666,19.2583,,C
646,0,PC 17572,76.7292,D33,C
647,0,349231,7.8958,,S
648,0,13213,35.5,A26,C
649,0,S.O./P.P. 751,7.55,,S
650,0,CA. 2314,7.55,,S
651,0,349221,7.8958,,S
652,1,231919,23,,S
653,0,8475,8.4333,,S
654,0,330919,7.8292,,Q
655,0,365226,6.75,,Q
656,0,S.O.C. 14879,73.5,,S
657,0,349223,7.8958,,S
658,1,364849,15.5,,Q
659,0,29751,13,,S
660,2,35273,113.275,D48,C
661,0,PC 17611,133.65,,S
662,0,2623,7.225,,C
663,0,5727,25.5875,E58,S
664,0,349210,7.4958,,S
665,0,STON/O 2. 3101285,7.925,,S
666,0,S.O.C. 14879,73.5,,S
667,0,234686,13,,S
668,0,312993,7.775,,S
669,0,A/5 3536,8.05,,S
670,0,19996,52,C126,S
671,1,29750,39,,S
672,0,F.C. 12750,52,B71,S
673,0,C.A. 24580,10.5,,S
674,0,244270,13,,S
675,0,239856,0,,S
676,0,349912,7.775,,S
677,0,342826,8.05,,S
678,0,4138,,,S
679,6,CA 2144,46.9,,S
680,1,PC 17755,512.3292,B51 B53 B55,C
681,0,330935,8.1375,,Q
682,0,PC 17572,76.7292,D49,C
683,0,6563,9.225,,S
684,2,CA 2144,46.9,,S
685,1,29750,39,,S
686,2,SC/Paris 2123,41.5792,,C
687,1,3101295,39.6875,,S
688,0,349228,10.1708,,S
689,0,350036,7.7958,,S
690,1,24160,211.3375,B5,S
691,0,17474,57,B20,S
692,1,349256,13.4167,,C
693,0,1601,56.4958,,S
694,0,2672,7.225,,C
695,0,113800,26.55,,S
696,0,248731,13.5,,S
697,0,363592,8.05,,S
698,0,35852,7.7333,,Q
699,1,17421,110.8833,C68,C
700,0,348121,7.65,F G63,S
701,0,PC 17757,227.525,C62 C64,C
702,0,PC 17475,26.2875,E24,S
703,1,2691,14.4542,,C
704,0,36864,7.7417,,Q
705,0,350025,7.8542,,S
706,0,250655,26,,S
707,0,223596,13.5,,S
708,0,PC 17476,26.2875,E24,S
